年份,试卷文件,题型板块,题号,题目文本,匹配题型ID,匹配题型名称,所属专题,所属章节,难度等级,匹配分数,备选题型
2025,2025年重庆市渝北区中考一模考试数学试题.docx,一、单选题,2,在悠久的数学发展历程中，诞生了许多杰出的数学成果．下列与数学发现相关的图形中，既是轴对称图形，又是中心对称图形的是（   ） A．	B． C．	D．,241,判断轴对称图形,几何,第五章 轴对称,lv1,51,图形旋转的性质(47) | 轴对称的应用(36) | 点的对称规律(15)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,一、单选题,3,已知蓄电池的电压为定值，使用蓄电池时，电流（单位：）与电阻（单位：）是反比例函数关系，它的图象如图所示．当用电器可变电阻为时，其电流为（   ） A．	B．	C．	D．,361,已知反比例函数求参,函数,第四章 反比例函数,lv2,58,反比例函数的图象性质(58) | 求反比例函数解析式(58) | 反比例函数和一次函数图象判断问题(19)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,一、单选题,4,小明同学在学习过程中善于动手实践，以加深对知识的理解和掌握．在学习了相交线与平行线的相关内容后，他又开始了新的探索：将直角三角板按图示方式放置在直尺上，则的度数为（   ） A．	B．	C．	D．,202,交叉图形中的角度计算,几何,第二章 相交线和平行线,lv2,65,两三角板摆放问题(35) | 识别同位角、内错角、同旁内角(20)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,一、单选题,5,估计的值应在（   ） A．1和2之间	B．2和3之间	C．3和4之间	D．4和5之间,66,无理数的估算,代数,第四章 实数,lv2,21,
2025,2025年重庆市渝北区中考一模考试数学试题.docx,一、单选题,6,如图，蜜蜂是自然界神奇的“建筑师”，它能造成牢固的“蜜蜂窝”，“蜜蜂窝”的表面是多个小正六边形．可从中抽象出如下规律：第1个图中有4个小正六边形，第2个图中有7个小正六边形，第3个图中有10个小正六边形，…，按此规律，第10个图中小正六边形的个数是（   ） A．30	B．31	C．32	D．40,281,弧长和扇形面积,几何,第九章 圆,lv2,47,数式排列规律(15) | 数图排列规律(15) | 周期规律(15)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,一、单选题,7,如图，是凸透镜的主光轴，点是光心，点是焦点．蜡烛的像为，测量得到物距与像距之比为，若像的长为，则蜡烛的高为（   ） A．	B．	C．	D．,289,位似,几何,第十章 相似三角形,lv2,83,A字相似(83)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,一、单选题,8,如图，，，分别与相切于，，三点，若，，，则图中阴影部分的面积为（   ） A．	B．	C．	D．,281,弧长和扇形面积,几何,第九章 圆,lv2,71,与切线有关辅助线(23) | 直线和圆的位置关系(23)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,一、单选题,9,如图是由四个全等的直角三角形和中间的小正方形拼成的一个大正方形．直线，分别交正方形的四边于点，，，，直线，交于点，记的面积为，四边形的面积为．若，则用含的式子表示的值是（   ） A．	B．	C．	D．,248,两个特殊的直角三角形,几何,第六章 勾股定理,lv2,82,解直角三角形(52) | 解直角三角形(52) | 正方形的性质(47)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,一、单选题,10,无论为何值，都有恒成立，下列说法： ①； ②若，则； ③若，则． 其中正确的个数是（   ） A．	B．	C．	D．,114,恒成立与无关问题,代数,第七章 整式的乘除法,lv3,49,
2025,2025年重庆市渝北区中考一模考试数学试题.docx,二、填空题,11,计算：________．,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,二、填空题,12,如图在正六边形，连接，，则________．,281,弧长和扇形面积,几何,第九章 圆,lv2,47,
2025,2025年重庆市渝北区中考一模考试数学试题.docx,二、填空题,13,某班准备毕业晚会节目，在两名男生和两名女生中随机抽取两名同学组成小合唱，则抽取两名女生组成小合唱的概率为________．,393,概率的意义,统计概率,第三章 概率初步,lv1,25,求随机事件的概率(25)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,二、填空题,14,若关于的不等式组有且只有3个奇数解，且关于的分式方程的解为正整数，则符合条件的所有整数的和为________．,92,解一元一次不等式组,代数,第六章 不等式及不等式组,lv2,44,不等式的基本性质(36) | 根据定义求值(35) | 整数解方程(35)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,二、填空题,15,如图，是的内接三角形，是直径，点在圆上，，连接，过点作的垂线，垂足为点，交于点，若，，则________，则的长为________．,277,弧、弦、圆心角、圆周角的关系,几何,第九章 圆,lv2,55,圆内接四边形(31) | 三角形三边关系(22) | 三角形中的角度计算(22)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,二、填空题,16,一个四位正整数，如果百位数字与个位数字之和等于千位数字与十位数字之和的两倍，则称为“倍数”，并规定，．若四位正整数是“倍数”，且的各数位上的数字之和为，则________；一个四位正整数（，，，且为整数）是一个“倍数”，且是的倍数，则满足条件的的值的和是________．,12,根据定义求值,代数,第一章 有理数,lv1,35,整数解方程(35) | 二次根式有意义的条件(11)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,三、解答题,17,计算： (1) (2)．,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,三、解答题,18,为了纪念“遵义会议”90周年，某校开展了“红色长征”知识竞赛，现从该校七、八年级中各随机抽取10名学生的竞赛成绩（成绩为百分制，学生得分均为整数且用表示）进行整理、描述和分析，并将其分别分成四组：（A：，B：，C：，D：）．下面给出了部分信息： 七年级10名学生的竞赛成绩是：84，85，86，87，88，92，95，97，98，98． 八年级10名学生的竞赛成绩在C组中的数据是：90，92，94．,379,求平均数,统计概率,第二章 数据分析,lv1,47,求中位数和众数(47) | 数据的收集与整理过程(11)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,七、八年级抽取的学生竞赛成绩统计表,19,在学习了平行四边形与特殊平行四边形的相关知识后，某数学兴趣小组进行了更深入的研究，他们发现，过平行四边形的一个顶点作邻角的角平分线的垂线，与平行四边形的边相交可以巧妙地构造菱形，根据他们的想法与思路，用直尺和圆规完成以下作图并填空：如图，平行四边形中，平分，过点作的垂线，垂足为，交线段于点，连接（保留作图痕迹）． 证明：四边形是平行四边形， ①________， ， 平分， ， ②________， ， ，， 又， ， ， ，， 垂直平分， ③________， ， 四边形是菱形． 进一步思考，如果四边形是矩形，请你模仿题中表述，可判定四边形是④________．,264,菱形的判定,几何,第七章 平行四边形,lv2,165,菱形的性质(84) | 平行四边形的判定(58) | 矩形的判定(55)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,七、八年级抽取的学生竞赛成绩统计表,20,某食品加工厂根据订单的需求会不定期采购A，B两种食材（单位：件），而两种食材的单价会根据市场变化波动． (1)第一周，该食品加工厂花费7650元一次性采购A，B两种食材共100件，此时A，B两种食材的单价分别是60元、90元，求食品加工厂采购了A，B两种食材各多少件？ (2)第二周，由于采购价格发生了变化，食品加工厂分别花费2000元、4200元一次性购买A，B两种食材，已知采购B种食材的数量是A种食材数量的倍，每件A种食材的单价比每件B种食材的单价少20元，求食品加工厂第二周采购A种食材多少件？,74,二元一次方程组解法,代数,第五章 二元一次方程（组）,lv2,323,
2025,2025年重庆市渝北区中考一模考试数学试题.docx,七、八年级抽取的学生竞赛成绩统计表,21,如图，在中，，，，点为线段上一点（不与点，重合），，的面积为，的面积与的面积之比为． (1)请直接写出，分别关于的函数表达式，并注明自变量的取值范围； (2)在给定的平面直角坐标系中，画出函数，的图象，并分别写出函数，的一条性质； (3)结合函数图象，请直接写出时的取值范围（近似值保留小数点后一位，误差不超过）．,331,一次函数图象和性质,函数,第二章 一次函数的性质和图象,lv2,167,二次函数图象判断(160) | 反比例函数的图象性质(160) | 求自变量的取值范围(119)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,七、八年级抽取的学生竞赛成绩统计表,22,如图，甲、乙两艘渔船同时从A港出发，前往位于港正北方向的捕鱼点捕鱼，甲渔船沿点的北偏西方向航行到观测点B，再沿B点的北偏东方向航行千米到达捕鱼点，乙渔船沿东北方向航行到观测点，再沿点的北偏西方向到达捕鱼点． (1)求A港到捕鱼点的距离；（结果保留根号） (2)若甲、乙两艘渔船的速度相同（在观测点B，观测的时间相同），哪艘渔船先到达捕鱼点？请通过计算说明．（参考数据：，，,371,数据的收集与整理过程,统计概率,第一章 数据的收集、整理和描述,lv1,11,频数和频率的计算(11) | 实数的简单计算(10) | 有理数加减计算(10)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,七、八年级抽取的学生竞赛成绩统计表,23,如图，抛物线与轴分别交于点、点（点在点的左侧），与轴交于点，对称轴为直线． (1)求抛物线解析式； (2)点为直线下方抛物线上一点，连接，，点为抛物线对称轴上一动点，轴，垂足为，连接，，当面积最大时，求此时点的坐标及的最小值； (3)将抛物线沿射线方向平移后过点，在新抛物线上是否存在一点，使与互补，若存在，直接写出点的坐标；若不存在，请说明理由．,346,二次函数图象和性质判断,函数,第三章 二次函数,lv2,143,求二次函数的解析式(113) | 二次函数中的图形面积问题(71) | 二次函数图象变换(59)
2025,2025年重庆市渝北区中考一模考试数学试题.docx,七、八年级抽取的学生竞赛成绩统计表,24,在中，，，点为直线上一点，连接，将线段绕点顺时针旋转得，连接． (1)如图1，若点为线段上一点，且，求点到的距离． (2)如图2，若点为线段上一点，连接并延长与的延长线交于点，连接，，求证：． (3)如图3，点为上一点，连接，，把沿翻折，得到，连接，点为的中点，连接，当的长度最小时，请直接写出的值．,288,平行线分线段成比例,几何,第十章 相似三角形,lv2,35,直线和圆的位置关系(33) | 图形旋转的性质(29) | 正数、负数和0(23)
2025,2025年重庆市第八中学校中考一模数学试题.docx,一、单选题,1,下列四个数中，最小的数是（　　） A．1	B．	C．	D．,1,正数、负数和0,代数,第一章 有理数,lv1,71,数轴的概念(71)
2025,2025年重庆市第八中学校中考一模数学试题.docx,一、单选题,2,如图是一个正方体的展开图，则与“争”字一面相对的字是（　　） A．开	B．忠	C．先	D．勇,190,几何体的展开图,几何,第一章 几何初步,lv1,49,求正方体的相对面(31)
2025,2025年重庆市第八中学校中考一模数学试题.docx,一、单选题,3,若点和点在同一个反比例函数的图像上，则与的大小关系是（　　） A．	B．	C．	D．无法确定,361,已知反比例函数求参,函数,第四章 反比例函数,lv2,58,反比例函数的图象性质(58) | 求反比例函数解析式(58) | 反比例函数和一次函数图象判断问题(19)
2025,2025年重庆市第八中学校中考一模数学试题.docx,一、单选题,4,估计的值应在（　　） A．6和7之间	B．7和8之间	C．8和9之间	D．9和10之间,66,无理数的估算,代数,第四章 实数,lv2,21,
2025,2025年重庆市第八中学校中考一模数学试题.docx,一、单选题,5,如图，与是以为位似中心的位似图形，若已知，的面积为，则的面积是（　　） A．	B．	C．	D．,289,位似,几何,第十章 相似三角形,lv2,35,等面积法(17) | 面积比问题(17)
2025,2025年重庆市第八中学校中考一模数学试题.docx,一、单选题,6,若关于的一元二次方程的一个根为0，则的值为（　　） A．2	B．	C．	D．2或0,180,依据根的情况求参数,代数,第十一章 一元二次方程,lv2,138,利用韦达定理求参或求代数式值(66) | 判断一元二次方程(55) | 一元二次方程的解法(55)
2025,2025年重庆市第八中学校中考一模数学试题.docx,一、单选题,7,已知某市2022年工业碳排放总量为1000万吨，为响应国家“双碳”目标，该市通过技术升级，2024年的工业碳排放总量降至810万吨．若设年平均减少率为，则下列方程正确的是（　　） A．	B． C．	D．,54,和、差、倍、分问题,代数,第三章 一元一次方程,lv2,35,一元一次方程的有关概念(35) | 无理数的估算(11) | 方程的有关概念(10)
2025,2025年重庆市第八中学校中考一模数学试题.docx,一、单选题,8,如图，在中，，，，为中点．分别以为半径作弧，与分别交于、两点，则图中阴影部分的面积为（　　） A．	B．	C．	D．,281,弧长和扇形面积,几何,第九章 圆,lv2,71,
2025,2025年重庆市第八中学校中考一模数学试题.docx,一、单选题,9,如图，在正方形中，点在边上，，作平分交于点，则的长是（　　） A．8	B．7	C．6	D．5,265,正方形的性质,几何,第七章 平行四边形,lv2,47,正方形的判定(47) | 角平分线模型(14) | 角平分线+垂一边(14)
2025,2025年重庆市第八中学校中考一模数学试题.docx,一、单选题,10,三个不完全相同的正整数，记为，进行如下操作：将其中最大的数减去2，另两个数分别加上1，得到对应的三个新数，第一次操作的结果记为，若有两个相等的最大数，则取最后面的最大数减2，另两个数分别加1；将按上述方式再做一次操作，得到第二次操作的结果；以此类推，直到时，停止操作．例如，当时，则，，即第三次操作后停止．下列说法： ①当时，经过4次操作后停止； ②当时，； ③当，、、三个数互不相同且极差为18时，则至少会经过7次操作才有可能停止． 其中正确的个数是（　　） A．0	B．1	C．2	D．3,1,正数、负数和0,代数,第一章 有理数,lv1,47,数轴的概念(47) | 根据定义求值(35) | 整数解方程(35)
2025,2025年重庆市第八中学校中考一模数学试题.docx,二、填空题,11,计算______,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2025,2025年重庆市第八中学校中考一模数学试题.docx,二、填空题,12,如图，在中，于点，交于点，，则___________．,,未匹配,,,,0,
2025,2025年重庆市第八中学校中考一模数学试题.docx,二、填空题,13,有四个分别标有的小球，它们除数字不同外其余都相同，现将它们放入一不透明的口袋中，摇匀后从中抽取两个，将球上的数字记为和，则的概率是___________．,393,概率的意义,统计概率,第三章 概率初步,lv1,25,求随机事件的概率(25)
2025,2025年重庆市第八中学校中考一模数学试题.docx,二、填空题,14,若关于的不等式组有解且最多有4个整数解，且关于的分式方程的解为整数，则所有满足条件的整数的和为___________．,92,解一元一次不等式组,代数,第六章 不等式及不等式组,lv2,44,不等式的基本性质(36) | 一元一次不等式整数解(26) | 整数解方程(26)
2025,2025年重庆市第八中学校中考一模数学试题.docx,二、填空题,15,如图，为的直径，于点，过点作交的切线于点，交于点，交于点，已知，则___________，___________．,284,与切线有关辅助线,几何,第九章 圆,lv4,23,直线和圆的位置关系(23) | 弧、弦、圆心角、圆周角的关系(23)
2025,2025年重庆市第八中学校中考一模数学试题.docx,二、填空题,16,一个三位自然数，其个位上的数字比十位上的数字大2，称为“不二数”；则最小的“不二数”是___________．一个“不二数”十位上的数字和个位上的数字组成的两位数是两个连续的奇数或者偶数的乘积，将个位数字与百位数字的平方差记作，十位数字与百位数字的差记作，并规定，当为偶数时，则满足条件的“不二数”的最大值与最小值之差为___________．,387,方差的意义,统计概率,第二章 数据分析,lv2,28,正数、负数和0(23) | 数轴的概念(23) | 求方差、标准差(17)
2025,2025年重庆市第八中学校中考一模数学试题.docx,三、解答题,17,（1）计算： （2）解不等式组,92,解一元一次不等式组,代数,第六章 不等式及不等式组,lv2,44,不等式的基本性质(36) | 解一元一次不等式(18) | 等式的性质(11)
2025,2025年重庆市第八中学校中考一模数学试题.docx,三、解答题,18,先化简再求值：，其中是从，0，2中选取的一个合适的数．,33,整式化简求值,代数,第二章 整式及其加减计算,lv2,34,二次根式的性质与化简(28) | 双重二次根式的化简(10)
2025,2025年重庆市第八中学校中考一模数学试题.docx,三、解答题,19,教育部“双减”政策要求各校减少课后作业量，某学习小组为了解本校“双减”的落实情况，决定对本校学生每天完成课后作业所用时间（单位：分钟）进行调查，他们分别从八年级、九年级各随机抽取了15名同学进行了问卷调查，并将询查结果分为四个等级：．下面给出了部分信息： 抽取的八年级学生在组的数据是：62，65，78，78，82，85，88 抽取的九年级学生的数据分别是： 32，51，60，62，70，70，75，85，85，85，90，92，95，98，105,369,普查和抽样调查,统计概率,第一章 数据的收集、整理和描述,lv1,21,依据判别式判断根的情况(11) | 数据的收集与整理过程(11)
2025,2025年重庆市第八中学校中考一模数学试题.docx,八、九年级所抽学生课后作业时间统计表,20,如图，在中，点是上的一点，连接． (1)用尺规作图，完成以下基本作图：做，交于点，连接交于点，连接交于点． (2)在（1）问所求作的图形中，求证：四边形是平行四边形． 证明：在中，， ___________①___________， ， ， ___________②___________， 四边形是平行四边形， ， ， ___________③___________， ， 四边形是平行四边形， ___________④___________， ， 四边形是平行四边形． 在以上探究过程中，证明四边形是平行四边形时，发现了用边和角的关系也可以判定一个四边形是平行四边形，即：___________⑤___________的四边形是平行四边形．,260,平行四边形的判定,几何,第七章 平行四边形,lv2,58,平行四边形的性质(49) | 垂直平分线(47) | 角平分线模型(47)
2025,2025年重庆市第八中学校中考一模数学试题.docx,八、九年级所抽学生课后作业时间统计表,21,合川桃片有香甜味和椒盐味两种类型，五一将至，小新打算购买若干袋香甜味桃片和椒盐味桃片． (1)小新花费4300元购买了40袋香甜味桃片和50袋椒盐味桃片，已知10袋香甜味桃片和9袋椒盐味桃片的售价相同，求每袋香甜味桃片和椒盐味桃片的售价分别是多少元？ (2)由于市场供不应求，香甜味和椒盐味桃片的价格均有上涨，其中每袋香甜味桃片的售价是每袋椒盐味桃片售价的1.2倍，小新分别花费了2400元、3600元购买香甜味桃片和椒盐味桃片，一共购买了100袋，求每袋椒盐味桃片的售价．,74,二元一次方程组解法,代数,第五章 二元一次方程（组）,lv2,23,分式方程应用题(23)
2025,2025年重庆市第八中学校中考一模数学试题.docx,八、九年级所抽学生课后作业时间统计表,22,如图1，在矩形中，．动点以每秒1个单位长度从点出发，沿着运动，当点到达点时停止运动．动点以每秒0.5个单位长度从点出发，沿方向运动，两点同时停止运动．点为直线上的动点，满足．设点的运动时间均为秒（），记的面积为，点到的距离为． (1)请直接写出关于的函数关系式，并写出自变量的取值范围； (2)在给定的平面直角坐标系中画出的图象，并写出函数的一条性质； (3)结合函数图象，请直接写出当时的取值范围．（近似值保留小数点后一位，误差不超过0.2）．,331,一次函数图象和性质,函数,第二章 一次函数的性质和图象,lv2,167,二次函数图象判断(160) | 反比例函数的图象性质(160) | 求自变量的取值范围(119)
2025,2025年重庆市第八中学校中考一模数学试题.docx,八、九年级所抽学生课后作业时间统计表,23,如图，是某动物园入口，是入口附近的三个展区．小明和小华相约从入口一起去参观，但由于兴趣不同，两人决定先沿不同的路线参观，再到达展区汇合．如图是路线平面示意图，已知展区在起点的东北方向，小明从起点出发沿正北方向走了米到展区，在展区参观分钟，再沿北偏东的方向走一段路即可到达展区，小华从起点出发向正东方向走到展区，在展区参观分钟，再沿北偏东方向走一段路即可到达展区．（参考数据：，，） (1)求的长度；（结果精确到米） (2)已知小明的平均速度为米分钟，小华的平均速度为米分钟，若两人同时出发，请通过计算说明谁会先到达展区？（结果精确到）,288,平行线分线段成比例,几何,第十章 相似三角形,lv2,35,数据的收集与整理过程(11) | 频数和频率的计算(11) | 实数的简单计算(10)
2025,2025年重庆市第八中学校中考一模数学试题.docx,八、九年级所抽学生课后作业时间统计表,24,如图，在平面直角坐标系中，点为坐标原点，抛物线与轴交于，两点，交轴于点，其中点，． (1)求抛物线的解析式； (2)点是直线上方抛物线上的一动点，过点作轴交于点，交于点．点，连接，点为直线上的动点，且满足．当周长最大时，求此时点的坐标以及的最小值； (3)在（2）问条件下，将抛物线沿射线方向平移个单位长度得到新抛物线，点为新抛物线上一动点，连接，当时，请直接写出所有符合条件的点的横坐标，并写出其中一个点的求解过程．,347,求二次函数的解析式,函数,第三章 二次函数,lv2,269,二次函数图象和性质判断(191) | 二次函数中的图形面积问题(83)
2025,2025年重庆市第八中学校中考一模数学试题.docx,八、九年级所抽学生课后作业时间统计表,25,在中，，点为平面内一点，连接、，点为中点，连接． (1)如图1，点在边上，若，求的度数（用含的代数式表示）； (2)如图2，点在内，连接，若，求证：； (3)如图3，，点在内且，当取最小值时，把沿着翻折到的同一平面得到，请直接写出四边形的面积．,27,代数式书写规范,代数,第二章 整式及其加减计算,lv1,25,整式的概念(25) | 正数、负数和0(23) | 数轴的概念(23)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,一、单选题,1,四个有理数，1，0，，其中最小的数是（   ） A．	B．1	C．0	D．,1,正数、负数和0,代数,第一章 有理数,lv1,79,数轴的概念(79)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,一、单选题,2,书法是我国传统文化的重要组成部分，下列用小篆书写的“志存高远”四个字，其中可以看作是轴对称图形的是（    ） A．	B． C．	D．,241,判断轴对称图形,几何,第五章 轴对称,lv1,51,轴对称的应用(36) | 点的对称规律(15)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,一、单选题,3,单项式的次数是（   ） A．	B．	C．2	D．4,28,整式的概念,代数,第二章 整式及其加减计算,lv1,107,
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,一、单选题,4,一元二次方程根的情况是（    ） A．有两个相等的实数根	B．有两个不相等的实数根 C．没有实数根	D．无法确定,179,依据判别式判断根的情况,代数,第十一章 一元二次方程,lv2,432,
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,一、单选题,5,下列关于平行四边形的说法中错误的是（   ） A．平行四边形的对角相等，邻角互补． B．一组对边相等，一组对角相等的四边形是平行四边形 C．一组对边平行，一组对角相等的四边形是平行四边形 D．一组对边平行且相等的四边形是平行四边形,259,平行四边形的性质,几何,第七章 平行四边形,lv2,49,平行四边形的判定(49) | 反比例函数中的平行和相等(23) | 矩形的性质(16)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,一、单选题,6,如图，在直角坐标系中，点的坐标是，点的坐标是，线段是由线段以点为位似中心放大3倍得到的，则点的坐标是（    ） A．	B．	C．	D．,289,位似,几何,第十章 相似三角形,lv2,35,两个特殊的直角三角形(12) | 解直角三角形(12) | 解直角三角形(12)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,一、单选题,7,估算的值在（　　） A．4和5之间	B．5和6之间	C．6和7之间	D．7和8之间,66,无理数的估算,代数,第四章 实数,lv2,35,
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,一、单选题,8,在中，直径于点，为弧的中点，若，则的度数为（   ） A．	B．	C．	D．,277,弧、弦、圆心角、圆周角的关系,几何,第九章 圆,lv2,23,线段中点计算问题(17) | 中点坐标公式(17) | 已知多中点，构造中位线(17)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,一、单选题,9,在正方形中，、分别为边、上两点，连接、，，延长交的延长线于点，若，则的值为（   ） A．	B．	C．	D．,181,利用韦达定理求参或求代数式值,代数,第十一章 一元二次方程,lv3,47,依据根的情况求参数(47) | 正方形的性质(47) | 正方形的判定(47)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,一、单选题,10,已知代数式，其中，且为整数，满足且均为整数．则下列说法正确的共有几个（   ） ①若，则； ②若，则满足条件的代数式共有10个； ③若，则原式的结果可能为． A．0个	B．1个	C．2个	D．3个,27,代数式书写规范,代数,第二章 整式及其加减计算,lv1,25,整式的概念(25) | 二次根式有意义的条件(11)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,二、填空题,11,某种植物果实的质量只有0.0076克，将0.0076用科学记数法表示为________．,10,科学记数法,代数,第一章 有理数,lv1,137,
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,二、填空题,12,三张背面完全相同的数字牌，它们的正面分别印有数字1，2，3，将它们背面朝上，洗匀后随机抽取一张，记录牌上的数字后并把牌放回，再重复这样的步骤，得到数字a，b，则的概率是________．,393,概率的意义,统计概率,第三章 概率初步,lv1,25,求随机事件的概率(25)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,二、填空题,13,如图，，是函数与的图象的两个交点，过点作轴于点，过点作轴于点，连接，，则四边形的面积为_____________．,224,等面积法,几何,第三章 三角形,lv3,17,面积比问题(17)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,二、填空题,14,若关于的不等式组有解且至多有4个整数解，关于的分式方程的解为整数，则所有满足条件的整数的和为_____．,92,解一元一次不等式组,代数,第六章 不等式及不等式组,lv2,44,不等式的基本性质(36) | 一元一次不等式整数解(26) | 整数解方程(26)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,二、填空题,15,如图，是的直径，点是上一点，将劣弧沿弦翻折交于点，点为弧的中点，若，，则的半径为________；的面积为________．,277,弧、弦、圆心角、圆周角的关系,几何,第九章 圆,lv2,59,矩形翻折问题(19) | 直角三角形翻折问题(19) | 线段中点计算问题(17)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,二、填空题,16,对于一个四位自然数，若满足，那么称这个四位数为“临风数”．例如，四位数2367，∵，∴2367是一个“临风数”．若一个四位数是“临风数”，则的值为________；若一个四位数是“临风数”，记，，当能被7整除时，则满足条件的四位数最大值与最小值的和为________．,36,定义新运算,代数,第二章 整式及其加减计算,lv2,95,利用韦达定理求参或求代数式值(47) | 依据根的情况求参数(47) | 正数、负数和0(23)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,三、解答题,17,计算 (1)； (2)解不等式组：,92,解一元一次不等式组,代数,第六章 不等式及不等式组,lv2,44,不等式的基本性质(36) | 解一元一次不等式(18) | 等式的性质(11)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,三、解答题,18,如图，在中，是斜边上的中线，交的延长线于点． (1)用尺规完成以下基本作图：作，使，且射线交于点（保留作图痕迹，不写作法，不下结论）． (2)求证：四边形是菱形． 证明：由知， ． ， 四边形是平行四边形（ ② ） 是斜边上的中线， ③ ． 平行四边形是菱形． 请进一步思考：若，则四边形是 ④ ．,264,菱形的判定,几何,第七章 平行四边形,lv2,155,菱形的性质(84) | 平行四边形的性质(49) | 平行四边形的判定(49)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,三、解答题,19,先化简，再求值：，其中．,33,整式化简求值,代数,第二章 整式及其加减计算,lv2,34,二次根式的性质与化简(28) | 双重二次根式的化简(10)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,三、解答题,20,今年劳动节，学校为了普及各种劳动小知识，提高劳动意识，举办了“爱劳动，爱生活”的知识竞赛．某校初一年级有400人、初二年级有800人，现从中各随机抽取20名同学的测试成绩进行调查分析，成绩如下： 根据上述数据，将下列表格补充完成． 整理、描述数据： 分析数据：样本数据的平均数、中位数、满分率如表： 得出结论： (1)________；________；________； (2)你认为哪个年级掌握劳动知识的总体水平较好，说明理由； (3)请你估计该校初一、初二年级学生在本次测试成绩中可以得到满分的人数共多少人．,381,求中位数和众数,统计概率,第二章 数据分析,lv2,127,求平均数(125) | 总体、个体、样本、样本容量(66) | 平均数、中位数、众数、方差的命题判断(35)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,三、解答题,21,为了美化校园环境，学校在今年2月份购进了、两种盆栽，每种盆栽均花费了4000元，其中种盆栽的数量比种盆栽的数量少100盆，已知2月份种盆栽的单价是种盆栽的单价的2倍． (1)请问学校在2月份购进种盆栽和种盆栽各多少盆？ (2)3月份学校再次购进了、两种盆栽，其中种盆栽单价有折扣优惠，种盆栽单价不变，学校3月份购进的种盆栽的数量比2月份购进的数量增加了，3月份购进的种盆栽的数量比2月份的减少了75盆，结果学校3月份购进、两种盆栽的总费用比2月份的总费用少了1180元，请问种盆栽打了几折？,74,二元一次方程组解法,代数,第五章 二元一次方程（组）,lv2,23,利润问题(23) | 利润问题(23) | 利润问题(23)
2025,2025年重庆市第八中学校九年级中考三模数学试题.docx,三、解答题,22,如图，在中，，，于点，动点从点出发．沿折线运动，到达点时停止运动，设点运动的路程为，连接，的面积为，的面积与点的运动路程的比为． (1)请直接写出，分别关于的函数表达式，并注明自变量的取值范围； (2)在给定的平面直角坐标系中．画出函数，的图象，并写出函数的一条性质； (3)结合函数图象，请直接写出函数时的取值范围（近似值保留小数点后一位，误差不超过）．,331,一次函数图象和性质,函数,第二章 一次函数的性质和图象,lv2,167,二次函数图象判断(160) | 反比例函数的图象性质(160) | 求自变量的取值范围(119)
